                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78743,                0.36944,                0.78392,                 0.7737,                 0.7368,                0.79628,                0.54735,                0.73663,                0.37304,                0.77224,             0.00038375,             0.00038375,             0.00038375
                     37,                0.76478,                0.36018,                0.78562,                0.85274,                  0.775,                0.81589,                0.57227,                0.74213,                0.38287,                0.77259,               0.000359,               0.000359,               0.000359
                     38,                0.75954,                0.35449,                0.78384,                0.80452,                0.72526,                 0.7963,                0.56627,                 0.7437,                0.37322,                0.77446,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.7474,                0.35297,                0.78181,                0.83439,                0.77962,                0.82221,                 0.5892,                0.72936,                0.37153,                0.77183,              0.0003095,              0.0003095,              0.0003095
                     40,                0.74232,                0.35205,                0.78419,                0.82514,                0.75534,                0.81228,                0.57444,                0.71667,                0.36442,                 0.7704,             0.00028475,             0.00028475,             0.00028475
                     41,                0.69442,                0.34622,                0.78114,                0.88577,                0.72595,                0.79894,                0.56672,                0.75938,                0.39261,                0.77244,                0.00026,                0.00026,                0.00026
                     42,                 0.6952,                0.34743,                0.78106,                 0.8202,                0.70667,                0.77449,                 0.5475,                0.74214,                0.37759,                0.77216,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.6941,                0.34599,                0.78208,                 0.7982,                0.73911,                0.78767,                0.55906,                 0.7204,                0.36698,                0.77129,              0.0002105,              0.0002105,              0.0002105
                     44,                0.68038,                0.33502,                0.78185,                0.92843,                0.69956,                0.79383,                 0.5652,                0.74827,                0.37767,                0.77418,             0.00018575,             0.00018575,             0.00018575
                     45,                0.67936,                0.33093,                 0.7825,                0.84536,                0.71985,                0.79712,                0.56385,                0.72354,                0.37201,                0.77123,               0.000161,               0.000161,               0.000161
                     46,                0.67216,                0.32886,                0.77988,                0.78065,                0.73564,                 0.7764,                0.55859,                0.71306,                0.37432,                0.77088,             0.00013625,             0.00013625,             0.00013625
                     47,                0.66859,                0.32646,                0.78176,                0.79062,                0.71496,                 0.7899,                0.56599,                0.71732,                0.36729,                0.77063,              0.0001115,              0.0001115,              0.0001115
                     48,                0.65369,                 0.3165,                0.77965,                0.88515,                0.70589,                0.79627,                0.56957,                0.71189,                0.36599,                0.77093,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.64484,                0.31526,                0.77911,                0.86527,                0.73378,                0.80283,                0.58536,                0.71535,                0.36395,                0.77085,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.63316,                0.30947,                0.77868,                0.92398,                0.69407,                0.80249,                0.58321,                0.70673,                0.36025,                 0.7701,              3.725e-05,              3.725e-05,              3.725e-05
